Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2021-12-01 01:00 AM,2021,12,01,01,4.7,20,Good,3.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 02:00 AM,2021,12,01,02,4.0,17,Good,3.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 03:00 AM,2021,12,01,03,3.6,15,Good,3.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 04:00 AM,2021,12,01,04,3.5,15,Good,3.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 05:00 AM,2021,12,01,05,3.7,15,Good,3.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 06:00 AM,2021,12,01,06,3.8,16,Good,3.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 07:00 AM,2021,12,01,07,4.5,19,Good,5.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 08:00 AM,2021,12,01,08,5.3,22,Good,6.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 09:00 AM,2021,12,01,09,6.0,25,Good,6.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 10:00 AM,2021,12,01,10,5.5,23,Good,4.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 11:00 AM,2021,12,01,11,5.4,23,Good,5.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 12:00 PM,2021,12,01,12,5.1,21,Good,4.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 01:00 PM,2021,12,01,13,4.9,20,Good,4.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 02:00 PM,2021,12,01,14,5.0,21,Good,5.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 03:00 PM,2021,12,01,15,5.7,24,Good,6.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 04:00 PM,2021,12,01,16,5.9,25,Good,6.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 05:00 PM,2021,12,01,17,6.6,28,Good,7.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 06:00 PM,2021,12,01,18,6.7,28,Good,7.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 07:00 PM,2021,12,01,19,6.6,28,Good,6.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 08:00 PM,2021,12,01,20,6.6,28,Good,6.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 09:00 PM,2021,12,01,21,6.2,26,Good,5.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 10:00 PM,2021,12,01,22,5.4,23,Good,4.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-01 11:00 PM,2021,12,01,23,4.6,19,Good,3.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 12:00 AM,2021,12,02,00,4.1,17,Good,3.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 01:00 AM,2021,12,02,01,3.7,15,Good,3.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 02:00 AM,2021,12,02,02,4.5,19,Good,5.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 03:00 AM,2021,12,02,03,6.9,29,Good,9.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 04:00 AM,2021,12,02,04,7.1,30,Good,7.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 05:00 AM,2021,12,02,05,4.6,19,Good,2.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 06:00 AM,2021,12,02,06,3.4,14,Good,2.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 07:00 AM,2021,12,02,07,3.2,13,Good,2.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 08:00 AM,2021,12,02,08,3.8,16,Good,4.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 09:00 AM,2021,12,02,09,4.2,18,Good,4.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 10:00 AM,2021,12,02,10,3.7,15,Good,3.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 11:00 AM,2021,12,02,11,3.6,15,Good,3.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 12:00 PM,2021,12,02,12,3.2,13,Good,2.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 01:00 PM,2021,12,02,13,2.9,12,Good,2.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 02:00 PM,2021,12,02,14,3.2,13,Good,3.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2021-12-02 03:00 PM,2021,12,02,15,3.2,13,Good,3.3,UG/M3,1 Hr,Valid
