Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,diskretno_vrijeme
Banja Luka,PM2.5 - Principal,2021-09-08 20:00:00,2021,9,8,20,10.4,43,Good,11.5,UG/M3,1 Hr,Valid,0.0
Banja Luka,PM2.5 - Principal,2021-09-08 21:00:00,2021,9,8,21,11.8,49,Good,13.2,UG/M3,1 Hr,Valid,1.0
Banja Luka,PM2.5 - Principal,2021-09-08 22:00:00,2021,9,8,22,16.0,59,Moderate,19.4,UG/M3,1 Hr,Valid,2.0
Banja Luka,PM2.5 - Principal,2021-09-08 23:00:00,2021,9,8,23,17.5,62,Moderate,19.0,UG/M3,1 Hr,Valid,3.0
Banja Luka,PM2.5 - Principal,2021-09-09 00:00:00,2021,9,9,0,17.2,62,Moderate,16.8,UG/M3,1 Hr,Valid,4.0
Banja Luka,PM2.5 - Principal,2021-09-09 01:00:00,2021,9,9,1,16.2,60,Moderate,15.2,UG/M3,1 Hr,Valid,5.0
Banja Luka,PM2.5 - Principal,2021-09-09 02:00:00,2021,9,9,2,16.0,59,Moderate,15.9,UG/M3,1 Hr,Valid,6.0
Banja Luka,PM2.5 - Principal,2021-09-09 03:00:00,2021,9,9,3,15.4,58,Moderate,14.8,UG/M3,1 Hr,Valid,7.0
Banja Luka,PM2.5 - Principal,2021-09-09 04:00:00,2021,9,9,4,14.6,56,Moderate,13.7,UG/M3,1 Hr,Valid,8.0
Banja Luka,PM2.5 - Principal,2021-09-09 05:00:00,2021,9,9,5,13.4,54,Moderate,12.3,UG/M3,1 Hr,Valid,9.0
Banja Luka,PM2.5 - Principal,2021-09-09 06:00:00,2021,9,9,6,12.4,52,Moderate,11.5,UG/M3,1 Hr,Valid,10.0
Banja Luka,PM2.5 - Principal,2021-09-09 07:00:00,2021,9,9,7,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid,11.0
Banja Luka,PM2.5 - Principal,2021-09-09 08:00:00,2021,9,9,8,13.5,54,Moderate,15.1,UG/M3,1 Hr,Valid,12.0
Banja Luka,PM2.5 - Principal,2021-09-09 09:00:00,2021,9,9,9,13.2,53,Moderate,12.8,UG/M3,1 Hr,Valid,13.0
Banja Luka,PM2.5 - Principal,2021-09-09 10:00:00,2021,9,9,10,13.5,54,Moderate,14.0,UG/M3,1 Hr,Valid,14.0
Banja Luka,PM2.5 - Principal,2021-09-09 11:00:00,2021,9,9,11,13.6,54,Moderate,13.8,UG/M3,1 Hr,Valid,15.0
Banja Luka,PM2.5 - Principal,2021-09-09 12:00:00,2021,9,9,12,13.8,55,Moderate,14.4,UG/M3,1 Hr,Valid,16.0
Banja Luka,PM2.5 - Principal,2021-09-09 13:00:00,2021,9,9,13,13.6,54,Moderate,12.9,UG/M3,1 Hr,Valid,17.0
Banja Luka,PM2.5 - Principal,2021-09-09 14:00:00,2021,9,9,14,13.4,54,Moderate,12.9,UG/M3,1 Hr,Valid,18.0
Banja Luka,PM2.5 - Principal,2021-09-09 15:00:00,2021,9,9,15,13.2,53,Moderate,12.6,UG/M3,1 Hr,Valid,19.0
Banja Luka,PM2.5 - Principal,2021-09-09 16:00:00,2021,9,9,16,13.0,53,Moderate,12.5,UG/M3,1 Hr,Valid,20.0
Banja Luka,PM2.5 - Principal,2021-09-09 17:00:00,2021,9,9,17,11.9,50,Good,10.0,UG/M3,1 Hr,Valid,21.0
Banja Luka,PM2.5 - Principal,2021-09-09 18:00:00,2021,9,9,18,11.3,47,Good,10.1,UG/M3,1 Hr,Valid,22.0
Banja Luka,PM2.5 - Principal,2021-09-09 19:00:00,2021,9,9,19,10.6,44,Good,9.6,UG/M3,1 Hr,Valid,23.0
Banja Luka,PM2.5 - Principal,2021-09-09 20:00:00,2021,9,9,20,10.9,45,Good,11.2,UG/M3,1 Hr,Valid,24.0
Banja Luka,PM2.5 - Principal,2021-09-09 21:00:00,2021,9,9,21,14.6,56,Moderate,18.8,UG/M3,1 Hr,Valid,25.0
