Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,pomocna,diskretno_vrijeme
Sarajevo,PM2.5 - Principal,5/22/2018 23:00,2018,5,22,23,21.2,70,Moderate,24.0,UG/M3,1 Hr,Valid,5/22/2018 22:00,6
Sarajevo,PM2.5 - Principal,5/23/2018 17:00,2018,5,23,17,19.1,66,Moderate,20.0,UG/M3,1 Hr,Valid,5/23/2018 16:00,24
Sarajevo,PM2.5 - Principal,5/24/2018 23:00,2018,5,24,23,25.7,80,Moderate,29.0,UG/M3,1 Hr,Valid,5/24/2018 22:00,54
Sarajevo,PM2.5 - Principal,5/25/2018 1:00,2018,5,25,1,25.4,79,Moderate,26.0,UG/M3,1 Hr,Valid,5/25/2018 0:00,56
Sarajevo,PM2.5 - Principal,5/26/2018 15:00,2018,5,26,15,28.5,85,Moderate,31.0,UG/M3,1 Hr,Valid,5/26/2018 14:00,94
Sarajevo,PM2.5 - Principal,5/27/2018 2:00,2018,5,27,2,40.6,114,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid,5/27/2018 1:00,105
Sarajevo,PM2.5 - Principal,5/28/2018 23:00,2018,5,28,23,22.6,73,Moderate,23.0,UG/M3,1 Hr,Valid,5/28/2018 22:00,150
Sarajevo,PM2.5 - Principal,5/29/2018 1:00,2018,5,29,1,21.9,72,Moderate,23.0,UG/M3,1 Hr,Valid,5/29/2018 0:00,152
Sarajevo,PM2.5 - Principal,5/30/2018 23:00,2018,5,30,23,21.3,70,Moderate,23.0,UG/M3,1 Hr,Valid,5/30/2018 22:00,197
Sarajevo,PM2.5 - Principal,5/31/2018 14:00,2018,5,31,14,21.5,71,Moderate,23.0,UG/M3,1 Hr,Valid,5/31/2018 13:00,212
Sarajevo,PM2.5 - Principal,6/1/2018 14:00,2018,6,1,14,27.7,84,Moderate,32.0,UG/M3,1 Hr,Valid,6/1/2018 13:00,236
Sarajevo,PM2.5 - Principal,6/2/2018 21:00,2018,6,2,21,27.0,82,Moderate,38.0,UG/M3,1 Hr,Valid,6/2/2018 20:00,267
Sarajevo,PM2.5 - Principal,6/3/2018 2:00,2018,6,3,2,28.2,85,Moderate,29.0,UG/M3,1 Hr,Valid,6/3/2018 1:00,272
Sarajevo,PM2.5 - Principal,6/4/2018 0:00,2018,6,4,0,22.2,72,Moderate,16.0,UG/M3,1 Hr,Valid,6/3/2018 23:00,294
