Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,5/27/2018 2:00,2018,5,27,2,40.6,114,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,6/17/2018 21:00,2018,6,17,21,42.6,118,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,7/14/2018 21:00,2018,7,14,21,49.4,135,Unhealthy for Sensitive Groups,71.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,8/11/2018 16:00,2018,8,11,16,55.1,149,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,9/22/2018 19:00,2018,9,22,19,41.9,117,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,10/24/2018 20:00,2018,10,24,20,105.4,177,Unhealthy,117.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,11/25/2018 1:00,2018,11,25,1,191.7,242,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,12/30/2018 1:00,2018,12,30,1,540.5,526,Hazardous,567.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,1/14/2019 3:00,2019,1,14,3,371.3,415,Hazardous,423.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2/15/2019 0:00,2019,2,15,0,181.2,231,Very Unhealthy,219.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,3/27/2019 2:00,2019,3,27,2,133.5,191,Unhealthy,148.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,4/9/2019 22:00,2019,4,9,22,62.6,155,Unhealthy,73.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,5/16/2019 0:00,2019,5,16,0,41.6,116,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,6/3/2019 1:00,2019,6,3,1,39.4,111,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,7/30/2019 21:00,2019,7,30,21,37.9,107,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,8/13/2019 16:00,2019,8,13,16,69.1,158,Unhealthy,71.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,9/23/2019 10:00,2019,9,23,10,42.2,117,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,10/29/2019 21:00,2019,10,29,21,141.5,195,Unhealthy,156.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,10/29/2019 22:00,2019,10,29,22,141.2,195,Unhealthy,141.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,11/27/2019 19:00,2019,11,27,19,196.7,247,Very Unhealthy,215.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,12/7/2019 0:00,2019,12,7,0,389.7,427,Hazardous,418.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,1/14/2020 12:00,2020,1,14,12,609.9,572,Hazardous,896.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2/8/2020 2:00,2020,2,8,2,254.7,305,Hazardous,257.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,3/27/2020 22:00,2020,3,27,22,74.2,161,Unhealthy,78.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,4/13/2020 11:00,2020,4,13,11,44.6,123,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,5/19/2020 14:00,2020,5,19,14,49.0,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,6/25/2020 12:00,2020,6,25,12,26.1,80,Moderate,30.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,7/31/2020 15:00,2020,7,31,15,64.7,156,Unhealthy,71.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,8/23/2020 23:00,2020,8,23,23,40.7,114,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,9/10/2020 15:00,2020,9,10,15,41.3,115,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,10/25/2020 20:00,2020,10,25,20,97.3,173,Unhealthy,111.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,11/29/2020 1:00,2020,11,29,1,320.7,371,Hazardous,329.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,12/22/2020 16:00,2020,12,22,16,364.9,411,Hazardous,396.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,1/19/2021 18:00,2021,1,19,18,266.5,317,Hazardous,297.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2/2/2021 22:00,2021,2,2,22,184.2,234,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,3/26/2021 5:00,2021,3,26,5,93.2,170,Unhealthy,131.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,4/28/2021 11:00,2021,4,28,11,48.1,132,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
