Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,33.1,95,Moderate,30.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,36.4,103,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 03:00 AM,2019,01,01,03,32.8,95,Moderate,29.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 04:00 AM,2019,01,01,04,29.1,87,Moderate,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 05:00 AM,2019,01,01,05,24.4,77,Moderate,20.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 06:00 AM,2019,01,01,06,22.2,72,Moderate,20.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 07:00 AM,2019,01,01,07,17.1,62,Moderate,12.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 08:00 AM,2019,01,01,08,15.5,58,Moderate,14.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 09:00 AM,2019,01,01,09,14.7,56,Moderate,14.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 10:00 AM,2019,01,01,10,12.3,51,Moderate,10.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 11:00 AM,2019,01,01,11,16.1,59,Moderate,20.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 12:00 PM,2019,01,01,12,16.5,60,Moderate,17.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 01:00 PM,2019,01,01,13,15.2,58,Moderate,14.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-01-01 02:00 PM,2019,01,01,14,15.1,57,Moderate,15.0,UG/M3,1 Hr,Valid
