Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2020-12-01 01:00 AM,2020,12,01,01,14.1,55,Moderate,16.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 02:00 AM,2020,12,01,02,17.5,62,Moderate,21.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 03:00 AM,2020,12,01,03,19.7,67,Moderate,22.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 04:00 AM,2020,12,01,04,17.8,63,Moderate,16.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 05:00 AM,2020,12,01,05,16.9,61,Moderate,16.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 06:00 AM,2020,12,01,06,14.4,56,Moderate,12.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 07:00 AM,2020,12,01,07,15.7,59,Moderate,17.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 08:00 AM,2020,12,01,08,23.8,76,Moderate,32.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 09:00 AM,2020,12,01,09,34.9,99,Moderate,46.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 10:00 AM,2020,12,01,10,41.4,116,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 11:00 AM,2020,12,01,11,39.2,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 12:00 PM,2020,12,01,12,42.1,117,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 01:00 PM,2020,12,01,13,43.5,121,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 02:00 PM,2020,12,01,14,46.2,127,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 03:00 PM,2020,12,01,15,46.6,128,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 04:00 PM,2020,12,01,16,47.8,131,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 05:00 PM,2020,12,01,17,58.9,153,Unhealthy,70.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 06:00 PM,2020,12,01,18,83.9,166,Unhealthy,109.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 07:00 PM,2020,12,01,19,108.0,178,Unhealthy,132.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 08:00 PM,2020,12,01,20,131.5,190,Unhealthy,155.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 09:00 PM,2020,12,01,21,147.2,198,Unhealthy,163.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 10:00 PM,2020,12,01,22,153.6,204,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2020-12-01 11:00 PM,2020,12,01,23,154.8,205,Very Unhealthy,156.0,UG/M3,1 Hr,Valid
